     channel          r           z      phi      tilt     length   delta_phi        na         pair  
  MPI66M020D     2.4099    0.002106    19.52    -89.94    0.13942         1.0       nan         None  
  MPI66M067D      2.413       0.003     67.5     -89.9      0.141         1.0       nan         None  
  MPI66M097D      2.413      -0.005     97.4     -89.8      0.137         1.0       nan         None  
  MPI66M127D      2.413       0.002    127.9     -90.0       0.14         1.0       nan         None  
  MPI66M132D      2.413       0.002    132.9     -90.0       0.14         1.0       nan         None  
  MPI66M137D      2.413       0.002    137.9     -90.0       0.14         1.0       nan         None  
  MPI66M157D      2.413      -0.001    157.6     -89.8      0.137         1.0       nan         None  
  MPI66M200D     2.4122     0.00291   199.68    -89.91    0.13945         1.0       nan         None  
  MPI66M247D      2.413      -0.003    246.4     -90.5       0.14         1.0       nan         None  
  MPI66M277D      2.413      -0.009    277.5     -89.7      0.137         1.0       nan         None  
  MPI66M307D      2.413       0.001    307.0     -90.2       0.14         1.0       nan         None  
  MPI66M312D      2.413       0.001    312.0     -90.2       0.14         1.0       nan         None  
  MPI66M322D      2.413       0.001    322.0     -90.2       0.14         1.0       nan         None  
  MPI66M340D      2.413      -0.002    339.7     -89.8       0.14         1.0       nan         None  
  MPID66M020     2.4099    0.002106    19.52    -89.94    0.13942         1.0       nan   MPID66M097  
  MPID66M067      2.413       0.003     67.5     -89.9      0.141         1.0       nan   MPID66M247  
  MPID66M097      2.413      -0.005     97.4     -89.8      0.137         1.0       nan   MPID66M277  
  MPID66M127      2.413       0.002    127.9     -90.0       0.14         1.0       nan   MPID66M307  
  MPID66M157      2.413      -0.001    157.6     -89.8      0.137         1.0       nan   MPID66M340  
  MPID66M200     2.4122     0.00291   199.68    -89.91    0.13945         1.0       nan   MPID66M020  
  MPID66M247      2.413      -0.003    246.4     -90.5       0.14         1.0       nan   MPID66M127  
  MPID66M277      2.413      -0.009    277.5     -89.7      0.137         1.0       nan   MPID66M157  
  MPID66M307      2.413       0.001    307.0     -90.2       0.14         1.0       nan   MPID66M200  
  MPID66M340      2.413      -0.002    339.7     -89.8       0.14         1.0       nan   MPID66M067  
  MPID67A022      2.273       0.767     22.3     -67.4      0.153         1.0       nan   MPID67A052  
  MPID67A037      2.268       0.755     37.5     -67.9      0.155         1.0       nan   MPID67A217  
  MPID67A052       2.27       0.764     52.4     -65.9      0.154         1.0       nan   MPID67A037  
  MPID67A097      2.266       0.758     97.4     -67.6      0.155         1.0       nan   MPID67A277  
  MPID67A157      2.264        0.76    157.5     -67.8      0.156         1.0       nan   MPID67A337  
  MPID67A217      2.268       0.753    217.5     -67.6      0.155         1.0       nan   MPID67A097  
  MPID67A277      2.267       0.756    277.3     -68.0      0.155         1.0       nan   MPID67A157  
  MPID67A337      2.268       0.756    337.4     -67.6      0.155         1.0       nan   MPID67A022  
  MPID67B022      2.253      -0.751     22.4    -112.3      0.154         1.0       nan   MPID67B052  
  MPID67B037      2.264      -0.752     37.4    -112.4      0.156         1.0       nan   MPID67B217  
  MPID67B052      2.257      -0.751     52.4    -112.7      0.154         1.0       nan   MPID67B037  
  MPID67B097      2.262      -0.751     97.4    -112.6      0.156         1.0       nan   MPID67B277  
  MPID67B157       2.26      -0.754    157.4    -112.8      0.155         1.0       nan   MPID67B337  
  MPID67B217      2.266      -0.753    217.6    -112.8      0.155         1.0       nan   MPID67B097  
  MPID67B277       2.26      -0.756    277.5    -112.5      0.155         1.0       nan   MPID67B157  
  MPID67B337      2.265      -0.755    337.4    -112.7      0.155         1.0       nan   MPID67B022  
  MPID79A072     1.7616      1.3115    72.22     -39.0    0.15337         1.0       nan   MPID79A222  
  MPID79A147     1.7617      1.3123   147.22     -39.5    0.15342         1.0       nan   MPID79A072  
  MPID79A222     1.7617      1.3123   222.11     -39.5    0.15329         1.0       nan   MPID79A272  
  MPID79A272     1.7626      1.3109   272.87     -39.1    0.15326         1.0       nan   MPID79A147  
  MPID79B067     2.0391     -1.1104    67.47   -129.42    0.15342         1.0       nan   MPID79B217  
  MPID79B142     2.0436     -1.1098   142.36    -129.1    0.15367         1.0       nan   MPID79B067  
  MPID79B217     2.0461     -1.1094   217.53   -129.64    0.15349         1.0       nan   MPID79B277  
  MPID79B277     2.0426     -1.1097   277.59   -129.24    0.15321         1.0       nan   MPID79B142  
   MPID5A199   0.978237     0.75916   202.55      90.0   0.141409         1.0     980.5    MPIF5A139  
   MPID4A199   0.975949    0.485055   194.98     90.23   0.140773         1.0     974.1    MPIF4A139  
   MPID3A199    0.97727    0.347148   202.59     90.03   0.141392         1.0     980.3    MPIF3A139  
   MPID2A199   0.976151    0.208727   195.03     89.82   0.141454         1.0     976.2    MPIF2A139  
   MPID1A199   0.976311    0.070086    202.6     90.57   0.141316         1.0     979.6    MPID1A139  
   MPID2B199   0.976868   -0.206768   202.55     89.84   0.140998         1.0     974.0    MPIF2B139  
   MPID3B199   0.976092   -0.343779    195.0     90.03   0.141665         1.0     978.2    MPIF3B139  
   MPID4B199   0.978287     -0.4825   202.51      89.7   0.141695         1.0     983.6    MPIF4B139  
   MPID5B199   0.977124   -0.757137   194.94     89.97     0.1419         1.0     983.1    MPIF5B139  
   MPIF5A139   0.978543    0.759141   142.54     89.74   0.141388         1.0     975.6         None  
   MPIF4A139   0.976386    0.485104   135.01     90.01   0.140873         1.0     976.7         None  
   MPIF3A139   0.979288    0.347097    142.5     90.07   0.141156         1.0     972.5         None  
   MPIF2A139   0.976712    0.209354   134.99     89.87   0.140762         1.0     980.8         None  
   MPIF2B139   0.979189   -0.206991   142.51     89.59   0.141367         1.0     981.2         None  
   MPIF3B139   0.976893   -0.342781   134.98     90.05    0.14112         1.0     981.6         None  
   MPIF4B139     0.9801   -0.481829   142.54     89.86    0.14074         1.0     974.8         None  
   MPIF5B139   0.977389    -0.75695   134.89     89.79   0.141975         1.0     982.2         None  
   MPID1A011   0.977476    0.070971    15.11     90.25   0.140995         1.0     976.5    MPID1A199  
   MPID1A049   0.978581    0.070358    52.57     90.24   0.141244         1.0     975.3    MPID1A244  
   MPID1A109   0.976823    0.070024   112.49     90.37   0.141235         1.0     983.4    MPID1A011  
   MPID1A139   0.978675    0.069907   142.53     90.26   0.141923         1.0     977.6    MPID1A341  
   MPID1A244   0.976895    0.070462   247.34     89.86   0.141333         1.0     975.1    MPID1A274  
   MPID1A274   0.977603    0.070709   277.51     90.27   0.141026         1.0     977.1    MPID1A109  
   MPID1A341    0.97807    0.071305    345.1      89.9   0.141069         1.0     975.6    MPID1A049  
   MPID1B011   0.976356   -0.068409     7.59     90.12   0.140632         1.0     978.5    MPID1B199  
   MPID1B049   0.977866   -0.068107    45.11     89.95   0.140973         1.0     986.0    MPID1B244  
   MPID1B109    0.97641   -0.068526   105.01     89.82   0.141401         1.0     985.4    MPID1B011  
   MPID1B139   0.977097   -0.069144   134.99     90.01   0.141779         1.0     974.8    MPID1B341  
